N,Посада,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Ще студент,Рівень англійської,Дата заповнення,User.Agent,exp,current_job_exp,salary,Мова програмування
2835,Junior Software Engineer,1,0.5,300,0,Львів,до 200 осіб,Аутсорсингова,чоловіча,22,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 13:11:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1.0,0.5,300,Python
2838,Senior Software Engineer,4,2,2400,200,Харків,до 50 осіб,Аутстафінгова,чоловіча,29,Вища,False,Elementary (початковий),13/06/2017 13:12:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,2.0,2400,Python
2905,Software Engineer,0.5,0.25,1300,850,Київ,до 50 осіб,Стартап,чоловіча,28,Вища,False,Advanced (просунутий),13/06/2017 13:28:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.25,1300,Python
2909,Junior Software Engineer,менше 3 місяців,менше 3 місяців,500,0,Київ,до 10 осіб,Аутсорсингова,чоловіча,24,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 13:28:52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,500,Python
2947,Senior Software Engineer,6,1.5,3200,200,Львів,до 1000 осіб,Аутсорсингова,чоловіча,32,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 13:40:17,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,1.5,3200,Python
2960,Junior Software Engineer,2,2,800,250,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,24,Вища,False,Intermediate (середній),13/06/2017 13:45:43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,800,Python
2984,Junior Software Engineer,1.5,1.5,400,100,Івано-Франківськ,до 200 осіб,Аутсорсингова,жіноча,23,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 13:53:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36",1.5,1.5,400,Python
3045,Software Engineer,4,1.5,1000,200,Львів,до 10 осіб,Аутсорсингова,чоловіча,29,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 14:14:30,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,1.5,1000,Python
3051,Software Engineer,1,0.25,1500,1000,Київ,до 10 осіб,Продуктова,чоловіча,30,Вища,False,Intermediate (середній),13/06/2017 14:16:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,0.25,1500,Python
3146,Technical Lead,10 і більше років,2,1425,475,Київ,до 50 осіб,Аутсорсингова,чоловіча,43,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 14:51:19,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0,10.0,2.0,1425,Python
3150,Junior Software Engineer,0.25,0.25,400,0,Київ,до 10 осіб,Інша,чоловіча,21,Неповна Вища,True,Intermediate (середній),13/06/2017 14:52:32,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,400,Python
3157,Software Engineer,1.5,0.5,1000,500,Київ,до 10 осіб,Продуктова,чоловіча,26,Вища,False,Intermediate (середній),13/06/2017 14:55:45,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0,1.5,0.5,1000,Python
3159,Junior Software Engineer,0.5,0.5,550,200,Харків,до 50 осіб,Аутсорсингова,чоловіча,27,Неповна Вища,False,Intermediate (середній),13/06/2017 14:56:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",0.5,0.5,550,Python
3177,Senior Software Engineer,6,0.25,3500,0,Київ,до 10 осіб,Аутстафінгова,чоловіча,26,Вища,False,Intermediate (середній),13/06/2017 15:06:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.25,3500,Python
3233,Software Engineer,2,2,2700,1000,Київ,до 50 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,True,Advanced (просунутий),13/06/2017 15:34:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,2.0,2700,Python
3268,Junior Software Engineer,1,менше 3 місяців,900,600,Київ,до 1000 осіб,Аутсорсингова,чоловіча,21,Вища,False,Intermediate (середній),13/06/2017 15:52:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,900,Python
3416,Software Engineer,2,0.5,1000,700,Миколаїв,до 50 осіб,Продуктова,чоловіча,27,Вища,False,Pre-intermediate (нище середнього),13/06/2017 17:30:37,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2.0,0.5,1000,Python
3481,Software Engineer,2,1,1500,500,Київ,до 50 осіб,Аутсорсингова,чоловіча,40,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 18:39:42,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,1.0,1500,Python
3483,Software Engineer,4,3,1700,100,Харків,до 1000 осіб,Продуктова,чоловіча,26,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 18:39:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",4.0,3.0,1700,Python
3489,Software Engineer,8,1.5,2000,200,Львів,до 50 осіб,Аутстафінгова,чоловіча,28,Неповна Вища,False,Pre-intermediate (нище середнього),13/06/2017 18:48:48,"Mozilla/5.0 (Linux; Android 6.0.1; MI 5 Build/MXB48T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",8.0,1.5,2000,Python
3524,Software Engineer,4,1.5,3000,1000,Київ,до 200 осіб,Аутсорсингова,чоловіча,23,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 19:39:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.5,3000,Python
3533,Software Engineer,2,2,1900,400,Київ,до 10 осіб,Стартап,чоловіча,32,Вища,False,Advanced (просунутий),13/06/2017 19:54:30,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,2.0,1900,Python
3543,Junior Software Engineer,0.5,0.5,700,0,Львів,до 50 осіб,Аутсорсингова,чоловіча,42,Вища,False,Intermediate (середній),13/06/2017 20:10:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,700,Python
3622,Software Engineer,4,2,1700,600,Київ,більше 1000 осіб,Аутсорсингова,жіноча,26,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 21:54:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,2.0,1700,Python
3659,Software Engineer,10 і більше років,0.5,2200,0,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,38,Вища,False,Intermediate (середній),13/06/2017 22:40:45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,2200,Python
3680,Junior Software Engineer,0.25,0.25,500,200,Київ,до 1000 осіб,Продуктова,чоловіча,20,Неповна Вища,True,Intermediate (середній),13/06/2017 23:07:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",0.25,0.25,500,Python
3723,Senior Software Engineer,5,3,3100,0,Київ,до 1000 осіб,Аутсорсингова,чоловіча,26,Неповна Вища,False,Upper-Intermediate (вище середнього),14/06/2017 00:26:52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,3.0,3100,Python
3781,Junior Software Engineer,1.5,1,500,250,Дніпро,до 10 осіб,Аутсорсингова,чоловіча,43,Вища,False,Intermediate (середній),14/06/2017 09:00:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.5,1.0,500,Python
3822,Junior Software Engineer,1,менше 3 місяців,230,75,Інше,до 10 осіб,Інша,чоловіча,28,Вища,False,Pre-intermediate (нище середнього),14/06/2017 10:12:26,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,0.0,230,Python
3828,Software Engineer,4,1,1750,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,28,Середня,False,Pre-intermediate (нище середнього),14/06/2017 10:18:48,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0,4.0,1.0,1750,Python
3839,Software Engineer,6,5,1200,200,Херсон,до 50 осіб,Продуктова,чоловіча,30,Вища,False,Intermediate (середній),14/06/2017 10:35:35,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,5.0,1200,Python
3855,Software Engineer,2,2,2100,830,Дніпро,до 1000 осіб,Продуктова,чоловіча,27,Вища,False,Pre-intermediate (нище середнього),14/06/2017 10:48:28,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,2.0,2100,Python
3872,Junior Software Engineer,менше 3 місяців,менше 3 місяців,300,0,Львів,до 50 осіб,Аутсорсингова,чоловіча,19,Неповна Вища,True,Intermediate (середній),14/06/2017 11:18:58,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.0,0.0,300,Python
3875,Software Engineer,4,1,2000,0,Львів,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 11:21:20,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,2000,Python
3936,Technical Lead,10 і більше років,0.25,3700,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,34,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 12:26:36,"Mozilla/5.0 (Linux; Android 5.0; SM-N900V Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,0.25,3700,Python
3996,Software Engineer,5,1,1650,0,Одеса,до 10 осіб,Продуктова,чоловіча,30,Вища,False,Intermediate (середній),14/06/2017 14:21:58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,1.0,1650,Python
4026,Software Engineer,3,менше 3 місяців,2400,1000,Львів,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 15:21:29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,2400,Python
4080,Software Engineer,9,2,5400,600,Віддалено,до 10 осіб,Продуктова,чоловіча,34,Вища,False,Upper-Intermediate (вище середнього),14/06/2017 16:45:46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",9.0,2.0,5400,Python
4187,Junior Software Engineer,1,0.5,750,0,Львів,до 50 осіб,Аутсорсингова,чоловіча,39,Вища,False,Pre-intermediate (нище середнього),14/06/2017 21:41:54,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,750,Python
4237,Software Engineer,5,1.5,2300,300,Львів,до 1000 осіб,Аутсорсингова,чоловіча,29,Вища,False,Intermediate (середній),15/06/2017 00:17:57,Mozilla/5.0 (Android 5.0.2; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0,5.0,1.5,2300,Python
4266,Software Engineer,1,1,500,100,Одеса,до 50 осіб,Аутсорсингова,жіноча,29,Вища,False,Upper-Intermediate (вище середнього),15/06/2017 08:24:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,500,Python
4324,Technical Lead,2,2,3300,800,Харків,до 200 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),15/06/2017 11:16:57,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,2.0,3300,Python
4551,Software Engineer,3,0.5,1400,500,Херсон,більше 1000 осіб,Аутсорсингова,чоловіча,18,Неповна Вища,True,Upper-Intermediate (вище середнього),16/06/2017 00:51:12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,1400,Python
4600,Software Engineer,3,1,1400,560,Віддалено,до 10 осіб,Аутсорсингова,чоловіча,22,Середня,False,Upper-Intermediate (вище середнього),16/06/2017 11:09:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,1400,Python
4650,Senior Software Engineer,4,менше 3 місяців,3300,300,Харків,до 200 осіб,Стартап,чоловіча,26,Вища,False,Advanced (просунутий),16/06/2017 14:00:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,0.0,3300,Python
4666,Software Engineer,1.5,1,900,400,Одеса,до 50 осіб,Аутсорсингова,чоловіча,26,Дві вищих,False,Upper-Intermediate (вище середнього),16/06/2017 14:45:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,900,Python
4706,Software Engineer,3,2,1600,0,Київ,до 200 осіб,Аутсорсингова,чоловіча,22,Вища,True,Upper-Intermediate (вище середнього),16/06/2017 17:06:49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",3.0,2.0,1600,Python
4731,Junior Software Engineer,2,1,500,100,Рівне,більше 1000 осіб,Аутсорсингова,чоловіча,30,Вища,False,Intermediate (середній),16/06/2017 19:30:26,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,2.0,1.0,500,Python
4747,Technical Lead,5,3,2900,180,Дніпро,до 10 осіб,Аутстафінгова,чоловіча,26,Вища,False,Upper-Intermediate (вище середнього),16/06/2017 21:46:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,3.0,2900,Python
4848,Software Engineer,4,1.5,2000,200,Київ,до 50 осіб,Продуктова,чоловіча,27,Вища,False,Upper-Intermediate (вище середнього),17/06/2017 19:18:58,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,4.0,1.5,2000,Python
4856,Junior Software Engineer,1.5,1.5,700,0,Львів,до 50 осіб,Аутсорсингова,чоловіча,36,Вища,False,Intermediate (середній),17/06/2017 20:02:35,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,700,Python
4877,Software Engineer,3,0.5,1500,0,Львів,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,False,Upper-Intermediate (вище середнього),17/06/2017 23:21:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,1500,Python
4889,Senior Software Engineer,8,менше 3 місяців,9200,2200,Інше,більше 1000 осіб,Продуктова,чоловіча,27,Вища,False,Advanced (просунутий),18/06/2017 07:16:56,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0,8.0,0.0,9200,Python
4953,Junior Software Engineer,1,0.25,700,0,Київ,до 50 осіб,Стартап,чоловіча,19,Неповна Вища,True,Upper-Intermediate (вище середнього),18/06/2017 19:40:22,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1.0,0.25,700,Python
4967,Software Engineer,1,1,700,400,Київ,до 10 осіб,Стартап,чоловіча,26,Вища,False,Pre-intermediate (нище середнього),18/06/2017 22:10:18,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,700,Python
4972,Junior Software Engineer,менше 3 місяців,менше 3 місяців,211,300,Київ,до 10 осіб,Продуктова,чоловіча,23,Вища,True,Upper-Intermediate (вище середнього),18/06/2017 22:51:36,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,211,Python
4974,Junior Software Engineer,0.5,0.5,500,0,Одеса,до 10 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,True,Intermediate (середній),18/06/2017 22:56:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,500,Python
5037,Technical Lead,10 і більше років,0.5,6200,1200,Львів,до 50 осіб,Продуктова,чоловіча,35,Вища,False,Upper-Intermediate (вище середнього),19/06/2017 17:14:25,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,0.5,6200,Python
5052,Software Engineer,2,0.5,1800,300,Київ,до 200 осіб,Аутсорсингова,чоловіча,29,Вища,False,Advanced (просунутий),19/06/2017 20:34:46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1800,Python
5098,Software Engineer,4,3,1050,200,Кропивницький,до 200 осіб,Аутсорсингова,чоловіча,26,Вища,False,Elementary (початковий),20/06/2017 10:27:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,1050,Python
5174,Junior Software Engineer,1,0.5,400,100,Львів,до 50 осіб,Аутстафінгова,чоловіча,24,Неповна Вища,False,Pre-intermediate (нище середнього),20/06/2017 15:49:45,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,0.5,400,Python
5247,Junior Software Engineer,1.5,1,550,50,Київ,до 10 осіб,Стартап,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),20/06/2017 16:27:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.32 Safari/537.36",1.5,1.0,550,Python
5258,Junior Software Engineer,1.5,менше 3 місяців,800,400,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,23,Неповна Вища,False,Intermediate (середній),20/06/2017 16:28:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,800,Python
5316,Software Engineer,0.25,менше 3 місяців,1500,300,Харків,до 1000 осіб,Аутстафінгова,чоловіча,33,Вища,False,Intermediate (середній),20/06/2017 16:31:42,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.25,0.0,1500,Python
5317,Technical Lead,10 і більше років,7,2700,0,Харків,до 10 осіб,Аутстафінгова,чоловіча,31,Неповна Вища,False,Upper-Intermediate (вище середнього),20/06/2017 16:31:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,7.0,2700,Python
5399,Software Engineer,10 і більше років,0.25,2000,1000,Івано-Франківськ,до 10 осіб,Продуктова,чоловіча,33,Неповна Вища,False,Advanced (просунутий),20/06/2017 16:39:01,Mozilla/5.0 (X11; Linux x86_64; rv:48.0) Gecko/20100101 Firefox/48.0,10.0,0.25,2000,Python
5427,Software Engineer,0.5,0.5,900,0,Вінниця,до 50 осіб,Аутсорсингова,чоловіча,18,Середня,False,Upper-Intermediate (вище середнього),20/06/2017 16:42:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,900,Python
5479,Software Engineer,3,0.25,2000,1000,Київ,до 1000 осіб,Інша,чоловіча,28,Вища,False,Upper-Intermediate (вище середнього),20/06/2017 16:51:44,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,3.0,0.25,2000,Python
5499,Software Engineer,3,0.25,2630,1130,Харків,до 200 осіб,Аутстафінгова,чоловіча,23,Вища,False,Upper-Intermediate (вище середнього),20/06/2017 16:54:57,Mozilla/5.0 (X11; Linux x86_64; rv:55.0) Gecko/20100101 Firefox/55.0,3.0,0.25,2630,Python
5525,Senior Software Engineer,7,1.5,3600,0,Львів,до 50 осіб,Продуктова,чоловіча,28,Вища,False,Upper-Intermediate (вище середнього),20/06/2017 16:59:35,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.137 YaBrowser/17.4.1.955 Yowser/2.5 Safari/537.36",7.0,1.5,3600,Python
5530,Junior Software Engineer,1,1,330,80,Запоріжжя,до 200 осіб,Аутсорсингова,чоловіча,22,Вища,False,Intermediate (середній),20/06/2017 17:01:09,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",1.0,1.0,330,Python
5534,Software Engineer,менше 3 місяців,3,2400,1000,Львів,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),20/06/2017 17:02:09,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.0,3.0,2400,Python
5644,Senior Software Engineer,8,6,2300,200,Віддалено,до 10 осіб,Продуктова,чоловіча,28,Вища,False,Intermediate (середній),20/06/2017 17:34:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",8.0,6.0,2300,Python
5671,Software Engineer,2,1.5,1200,400,Харків,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,False,Intermediate (середній),20/06/2017 17:44:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3128.3 Safari/537.36",2.0,1.5,1200,Python
5717,Senior Software Engineer,4,4,1400,300,Київ,до 10 осіб,Інша,чоловіча,30,Вища,False,Intermediate (середній),20/06/2017 18:15:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",4.0,4.0,1400,Python
5749,System Architect,10 і більше років,0.25,3000,0,Київ,до 50 осіб,Продуктова,чоловіча,40,Вища,False,Upper-Intermediate (вище середнього),20/06/2017 18:40:40,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,0.25,3000,Python
5774,Software Engineer,2,2,2000,600,Київ,до 200 осіб,Продуктова,чоловіча,30,Вища,False,Pre-intermediate (нище середнього),20/06/2017 19:13:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,2000,Python
5836,Junior Software Engineer,менше 3 місяців,менше 3 місяців,400,0,Київ,до 10 осіб,Стартап,чоловіча,26,Вища,False,Intermediate (середній),20/06/2017 20:33:24,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,400,Python
6027,Junior Software Engineer,1,0.25,700,700,Київ,до 50 осіб,Аутсорсингова,жіноча,22,Неповна Вища,True,Upper-Intermediate (вище середнього),21/06/2017 08:52:15,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,1.0,0.25,700,Python
6039,Software Engineer,2,менше 3 місяців,2850,1000,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,25,Вища,False,Upper-Intermediate (вище середнього),21/06/2017 09:10:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2850,Python
6062,Junior Software Engineer,менше 3 місяців,менше 3 місяців,300,0,Київ,до 50 осіб,Аутсорсингова,чоловіча,22,Неповна Вища,False,Intermediate (середній),21/06/2017 09:54:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",0.0,0.0,300,Python
6091,Software Engineer,3,1,1100,500,Харків,до 50 осіб,Аутстафінгова,чоловіча,23,Вища,False,Upper-Intermediate (вище середнього),21/06/2017 10:40:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",3.0,1.0,1100,Python
